year,originregion,destinationregion,migflow,pop_o,pop_d,ypc_o,ypc_d,distance,exp_residual,remcost,comofflang
1990.0,SAS,EEU,5.178407069875479,22.96093553811605,19.897236666568574,7.100217750807125,9.209545662774081,8.772657276994341,0.8648324446520064,0.0771722199651482,0.0
1990.0,SAS,MAF,3.970291913552122,21.84128816638157,19.552266719184654,7.104454746708363,8.297224822144349,8.837684302261025,2.3972591139666983,0.056406576017167455,0.0
1990.0,SAS,SIS,6.256517501499401,23.308774092220563,17.40890889516497,7.1113661777485735,8.558362396916946,9.576081644218942,1.2002785623434187,0.07274841952213419,0.15462367203045638
1990.0,SAS,WEU,11.026473703812238,23.826464512043216,21.508817099605395,7.102987081218223,10.091018750653722,8.989048421030649,0.6791569878463968,0.06086474291373698,0.3285189743085104
1990.0,SAS,SSA,8.531372192589506,23.841650242311825,20.42299620722817,7.117095151851986,7.899865959088872,8.80980374683425,2.009688597534855,0.049109087652403904,0.8256130157960607
1990.0,SAS,LAM,4.881285622068407,23.026462272932246,20.68594457956429,7.115226297946317,8.82233936040607,9.645253786323108,1.7390775040424855,0.06180897405438803,0.0008923177295655175
1990.0,SAS,FSU,6.640398572991602,23.19193823751753,20.735999025719465,7.114937229109088,9.320477096493569,8.275854159142801,0.8976850545652794,0.04824421370116481,0.28168420342314204
1990.0,SAS,ANZ,9.237040723806139,21.530509024418254,18.620781755357182,7.105065861675311,10.05499090975133,8.9437828922803,0.511032946265979,0.06086474291373698,0.5338542989299613
1990.0,SAS,MDE,12.378033212161968,23.0165415904914,20.032972157277612,7.110053856233697,9.363335879232237,8.26986329608386,0.9744967028473531,0.0796172838943218,0.09558447080624051
1990.0,SAS,CAM,4.65586330030361,22.534693536694707,19.755229229337846,7.101373673956723,9.147538258987963,9.865302502621333,1.358533899276443,0.035597823757963686,0.27961803846715216
1990.0,SAS,SEA,10.556817442025569,23.019954015063767,21.550689534581693,7.10047569736829,7.812073152815413,8.100317551681107,0.8302818921047628,0.05535379556726832,0.13415235395553293
1990.0,SAS,CAN,10.244243458274841,20.83736184385831,18.92295741331836,7.10506586167531,10.210434994858643,9.74792107867231,0.6938762442056728,0.06086474291373698,0.6495084329265094
1990.0,SAS,CHI,8.63590024448146,22.15800842973586,22.68265581492975,7.102761460396186,7.052387547659056,8.360690282887289,1.3166075495332372,0.08285893381663913,0.12050112434730924
1990.0,SAS,JPK,8.113486536322936,21.530509024418254,20.72779750739985,7.105065861675311,10.007583237525617,8.773119471365995,0.4692368718792796,0.06086474291373698,0.0
1990.0,SAS,USA,10.956104767128492,20.83736184385831,21.137176417443342,7.10506586167531,10.360359747402383,9.75539716603061,0.710874118059627,0.06086474291373698,0.7719845146242893
1990.0,EEU,SAS,4.526126978647638,19.869144488424098,22.742246479078467,9.184181139444934,7.0858987230821056,8.772657276994341,0.0,0.050842781944377365,0.0
1990.0,EEU,MAF,5.119190700650601,19.88531023874771,20.75283672358096,9.179681017253731,8.26044539774986,7.422026525149083,1.4186874318168523,0.056406576017167455,0.0
1990.0,EEU,SIS,4.479606963012746,19.2054511567801,18.21628827460723,9.13453628278681,8.396367435867363,9.06485290595192,1.6055913778048825,0.07274841952213419,0.0
1990.0,EEU,WEU,12.772750864258962,21.580910260850228,22.14513232933818,9.182616250146529,10.085034691338427,7.353104555292711,1.4103343863613103,0.06086474291373698,0.0
1990.0,EEU,SSA,7.369852736656775,21.275761895653268,21.408047562957982,9.166086744687268,7.8182855623634175,8.50856986957872,0.2780197328338855,0.049109087652403904,0.0
1990.0,EEU,LAM,7.8461988154974245,20.685246990142335,21.691220055138626,9.181981713905452,8.811086126230006,9.25314175921778,1.4169296511543141,0.06180897405438803,0.0
1990.0,EEU,FSU,10.436489454846141,21.179540901719932,21.775302637837903,9.178020116788494,9.209692937387992,7.859593195815732,1.4453894696761154,0.07308023255813956,0.033675514360735
