regtype,b1,b2,b4,b5,b7,b8,b9,b10,b0
reg_reg_yfe,0.676,0.524,0.895,1.427,-0.711,-0.293,14.647,2.183,-32.12218074014683
reg_reg_odyfe,1.226,1.581,0.429,0.473,-0.68,-0.19,-1.379,0.504,-0.008245196619362087
