regtype,b1,b2,b4,b5,b7,b8,b9,b10,b0
reg_endo_yfe,0.689,0.687,0.417,0.831,-1.299,0.011,-8.928,1.733,-19.306502908151117
reg_endo_odyfe,0.713,-0.72,0.171,0.01,-1.49,0.01,-12.144,1.584,0.00604735326493133
reg_endo_abel_yfe,0.606,0.615,0.113,0.806,-1.047,0.002,-15.163,1.579,-16.1540353809931
reg_endo_abel_odyfe,1.684,-1.225,0.197,-0.123,-1.324,0.006,-14.013,1.335,-0.025486176089850595
