year,originregion,destinationregion,fe_originregion,fe_destinationregion,fe_year
1990.0,SAS,EEU,-51.97717230513082,-0.3804962121753839,0.37476259841574944
1990.0,SAS,MAF,-51.97717230513082,-0.3479130013600269,0.37476259841574944
1990.0,SAS,SIS,-51.97717230513082,1.8976983281384747,0.37476259841574944
1990.0,SAS,WEU,-51.97717230513082,-0.7610671624940579,0.37476259841574944
1990.0,SAS,SSA,-51.97717230513082,-2.4028764846261303,0.37476259841574944
1990.0,SAS,LAM,-51.97717230513082,-1.9530835116355334,0.37476259841574944
1990.0,SAS,FSU,-51.97717230513082,-1.651160050728226,0.37476259841574944
1990.0,SAS,ANZ,-51.97717230513082,4.284422083802838,0.37476259841574944
1990.0,SAS,MDE,-51.97717230513082,0.538108062508222,0.37476259841574944
1990.0,SAS,CAM,-51.97717230513082,-1.2195564462397606,0.37476259841574944
1990.0,SAS,SEA,-51.97717230513082,-1.274379777422979,0.37476259841574944
1990.0,SAS,CAN,-51.97717230513082,4.940390629489466,0.37476259841574944
1990.0,SAS,CHI,-51.97717230513082,-2.0795528727899573,0.37476259841574944
1990.0,SAS,JPK,-51.97717230513082,0.2900013850747776,0.37476259841574944
1990.0,SAS,USA,-51.97717230513082,2.9288888832303517,0.37476259841574944
1990.0,EEU,SAS,-52.126546792637356,-2.8094238527720385,0.37476259841574944
1990.0,EEU,MAF,-52.126546792637356,-0.3479130013600269,0.37476259841574944
1990.0,EEU,SIS,-52.126546792637356,1.8976983281384747,0.37476259841574944
1990.0,EEU,WEU,-52.126546792637356,-0.7610671624940579,0.37476259841574944
1990.0,EEU,SSA,-52.126546792637356,-2.4028764846261303,0.37476259841574944
1990.0,EEU,LAM,-52.126546792637356,-1.9530835116355334,0.37476259841574944
1990.0,EEU,FSU,-52.126546792637356,-1.651160050728226,0.37476259841574944
1990.0,EEU,ANZ,-52.126546792637356,4.284422083802838,0.37476259841574944
1990.0,EEU,MDE,-52.126546792637356,0.538108062508222,0.37476259841574944
1990.0,EEU,CAM,-52.126546792637356,-1.2195564462397606,0.37476259841574944
1990.0,EEU,SEA,-52.126546792637356,-1.274379777422979,0.37476259841574944
1990.0,EEU,CAN,-52.126546792637356,4.940390629489466,0.37476259841574944
1990.0,EEU,CHI,-52.126546792637356,-2.0795528727899573,0.37476259841574944
1990.0,EEU,JPK,-52.126546792637356,0.2900013850747776,0.37476259841574944
1990.0,EEU,USA,-52.126546792637356,2.9288888832303517,0.37476259841574944
1990.0,MAF,SAS,-50.79847297081287,-2.8094238527720385,0.37476259841574944
1990.0,MAF,EEU,-50.79847297081287,-0.3804962121753839,0.37476259841574944
1990.0,MAF,SIS,-50.79847297081287,1.8976983281384747,0.37476259841574944
1990.0,MAF,WEU,-50.79847297081287,-0.7610671624940579,0.37476259841574944
1990.0,MAF,SSA,-50.79847297081287,-2.4028764846261303,0.37476259841574944
1990.0,MAF,LAM,-50.79847297081287,-1.9530835116355334,0.37476259841574944
1990.0,MAF,FSU,-50.79847297081287,-1.651160050728226,0.37476259841574944
1990.0,MAF,ANZ,-50.79847297081287,4.284422083802838,0.37476259841574944
1990.0,MAF,MDE,-50.79847297081287,0.538108062508222,0.37476259841574944
1990.0,MAF,CAM,-50.79847297081287,-1.2195564462397606,0.37476259841574944
1990.0,MAF,SEA,-50.79847297081287,-1.274379777422979,0.37476259841574944
1990.0,MAF,CAN,-50.79847297081287,4.940390629489466,0.37476259841574944
1990.0,MAF,CHI,-50.79847297081287,-2.0795528727899573,0.37476259841574944
1990.0,MAF,JPK,-50.79847297081287,0.2900013850747776,0.37476259841574944
1990.0,MAF,USA,-50.79847297081287,2.9288888832303517,0.37476259841574944
1990.0,SIS,SAS,-50.27493404186164,-2.8094238527720385,0.37476259841574944
1990.0,SIS,EEU,-50.27493404186164,-0.3804962121753839,0.37476259841574944
1990.0,SIS,MAF,-50.27493404186164,-0.3479130013600269,0.37476259841574944
1990.0,SIS,WEU,-50.27493404186164,-0.7610671624940579,0.37476259841574944
1990.0,SIS,SSA,-50.27493404186164,-2.4028764846261303,0.37476259841574944
1990.0,SIS,LAM,-50.27493404186164,-1.9530835116355334,0.37476259841574944
1990.0,SIS,FSU,-50.27493404186164,-1.651160050728226,0.37476259841574944
1990.0,SIS,ANZ,-50.27493404186164,4.284422083802838,0.37476259841574944
1990.0,SIS,MDE,-50.27493404186164,0.538108062508222,0.37476259841574944
1990.0,SIS,CAM,-50.27493404186164,-1.2195564462397606,0.37476259841574944
1990.0,SIS,SEA,-50.27493404186164,-1.274379777422979,0.37476259841574944
1990.0,SIS,CAN,-50.27493404186164,4.940390629489466,0.37476259841574944
1990.0,SIS,CHI,-50.27493404186164,-2.0795528727899573,0.37476259841574944
1990.0,SIS,JPK,-50.27493404186164,0.2900013850747776,0.37476259841574944
1990.0,SIS,USA,-50.27493404186164,2.9288888832303517,0.37476259841574944
1990.0,WEU,SAS,-52.40586729527381,-2.8094238527720385,0.37476259841574944
1990.0,WEU,EEU,-52.40586729527381,-0.3804962121753839,0.37476259841574944
1990.0,WEU,MAF,-52.40586729527381,-0.3479130013600269,0.37476259841574944
1990.0,WEU,SIS,-52.40586729527381,1.8976983281384747,0.37476259841574944
1990.0,WEU,SSA,-52.40586729527381,-2.4028764846261303,0.37476259841574944
1990.0,WEU,LAM,-52.40586729527381,-1.9530835116355334,0.37476259841574944
1990.0,WEU,FSU,-52.40586729527381,-1.651160050728226,0.37476259841574944
1990.0,WEU,ANZ,-52.40586729527381,4.284422083802838,0.37476259841574944
