regtype,b1,b2,b4,b5,b7,b8,b9,b10,b0
reg_reg_yfe,0.679,0.499,0.894,1.405,-0.712,-0.275,3.479,2.148,-30.8210020851779
reg_reg_odyfe,1.19,1.599,0.454,0.469,-0.686,-0.183,-7.69,0.48,0.00747375898668015
