year,originregion,destinationregion,fe_OrigCategorical,fe_DestCategorical,fe_YearCategorical
1990.0,SIS,SSA,-50.77308550226084,-2.3098157863769124,0.3744304766494153
1990.0,MAF,SSA,-51.40758985587273,-2.3098157863769124,0.3744304766494153
1990.0,SAS,SSA,-52.70492881540335,-2.3098157863769124,0.3744304766494153
1990.0,SEA,SSA,-52.022744063378475,-2.3098157863769124,0.3744304766494153
1990.0,CAM,SSA,-52.90326465706343,-2.3098157863769124,0.3744304766494153
1990.0,LAM,SSA,-53.12377900290987,-2.3098157863769124,0.3744304766494153
1990.0,ANZ,SSA,-48.13835463494228,-2.3098157863769124,0.3744304766494153
1990.0,EEU,SSA,-52.72052880070537,-2.3098157863769124,0.3744304766494153
1990.0,FSU,SSA,-53.84309861088059,-2.3098157863769124,0.3744304766494153
1990.0,WEU,SSA,-52.970146213151395,-2.3098157863769124,0.3744304766494153
1990.0,CAN,SSA,-47.330973989564214,-2.3098157863769124,0.3744304766494153
1990.0,USA,SSA,-48.393300205074745,-2.3098157863769124,0.3744304766494153
1990.0,SSA,SIS,-54.40568897482562,1.7543666547558043,0.3744304766494153
1990.0,MAF,SIS,-51.40758985587273,1.7543666547558043,0.3744304766494153
1990.0,SAS,SIS,-52.70492881540335,1.7543666547558043,0.3744304766494153
1990.0,SEA,SIS,-52.022744063378475,1.7543666547558043,0.3744304766494153
1990.0,LAM,SIS,-53.12377900290987,1.7543666547558043,0.3744304766494153
1990.0,FSU,SIS,-53.84309861088059,1.7543666547558043,0.3744304766494153
1990.0,WEU,SIS,-52.970146213151395,1.7543666547558043,0.3744304766494153
1990.0,CAN,SIS,-47.330973989564214,1.7543666547558043,0.3744304766494153
1990.0,MDE,SSA,-51.44006891830045,-2.3098157863769124,0.3744304766494153
1990.0,CHI,SSA,-51.5963025043938,-2.3098157863769124,0.3744304766494153
1990.0,CHI,SIS,-51.5963025043938,1.7543666547558043,0.3744304766494153
1990.0,JPK,SIS,-50.715899219676274,1.7543666547558043,0.3744304766494153
1990.0,ANZ,SIS,-48.13835463494228,1.7543666547558043,0.3744304766494153
1990.0,EEU,SIS,-52.72052880070537,1.7543666547558043,0.3744304766494153
1990.0,USA,SIS,-48.393300205074745,1.7543666547558043,0.3744304766494153
1990.0,MDE,SIS,-51.44006891830045,1.7543666547558043,0.3744304766494153
1990.0,JPK,SSA,-50.715899219676274,-2.3098157863769124,0.3744304766494153
1990.0,SSA,MAF,-54.40568897482562,-0.29806890428689314,0.3744304766494153
1990.0,MDE,MAF,-51.44006891830045,-0.29806890428689314,0.3744304766494153
1990.0,WEU,MAF,-52.970146213151395,-0.29806890428689314,0.3744304766494153
1990.0,FSU,MAF,-53.84309861088059,-0.29806890428689314,0.3744304766494153
1990.0,SAS,MAF,-52.70492881540335,-0.29806890428689314,0.3744304766494153
1990.0,SEA,MAF,-52.022744063378475,-0.29806890428689314,0.3744304766494153
1990.0,CAM,MAF,-52.90326465706343,-0.29806890428689314,0.3744304766494153
1990.0,LAM,MAF,-53.12377900290987,-0.29806890428689314,0.3744304766494153
1990.0,ANZ,MAF,-48.13835463494228,-0.29806890428689314,0.3744304766494153
1990.0,EEU,MAF,-52.72052880070537,-0.29806890428689314,0.3744304766494153
1990.0,CAN,MAF,-47.330973989564214,-0.29806890428689314,0.3744304766494153
1990.0,USA,MAF,-48.393300205074745,-0.29806890428689314,0.3744304766494153
1990.0,SIS,MAF,-50.77308550226084,-0.29806890428689314,0.3744304766494153
1990.0,CHI,MAF,-51.5963025043938,-0.29806890428689314,0.3744304766494153
1990.0,JPK,MAF,-50.715899219676274,-0.29806890428689314,0.3744304766494153
1990.0,SSA,FSU,-54.40568897482562,-1.5830083543612723,0.3744304766494153
1990.0,MAF,FSU,-51.40758985587273,-1.5830083543612723,0.3744304766494153
1990.0,WEU,FSU,-52.970146213151395,-1.5830083543612723,0.3744304766494153
1990.0,MDE,FSU,-51.44006891830045,-1.5830083543612723,0.3744304766494153
1990.0,SEA,FSU,-52.022744063378475,-1.5830083543612723,0.3744304766494153
1990.0,CAM,FSU,-52.90326465706343,-1.5830083543612723,0.3744304766494153
1990.0,LAM,FSU,-53.12377900290987,-1.5830083543612723,0.3744304766494153
1990.0,ANZ,FSU,-48.13835463494228,-1.5830083543612723,0.3744304766494153
1990.0,EEU,FSU,-52.72052880070537,-1.5830083543612723,0.3744304766494153
1990.0,CAN,FSU,-47.330973989564214,-1.5830083543612723,0.3744304766494153
1990.0,USA,FSU,-48.393300205074745,-1.5830083543612723,0.3744304766494153
1990.0,SAS,FSU,-52.70492881540335,-1.5830083543612723,0.3744304766494153
1990.0,CHI,FSU,-51.5963025043938,-1.5830083543612723,0.3744304766494153
1990.0,SSA,MDE,-54.40568897482562,0.3605526124192302,0.3744304766494153
1990.0,SIS,MDE,-50.77308550226084,0.3605526124192302,0.3744304766494153
1990.0,MAF,MDE,-51.40758985587273,0.3605526124192302,0.3744304766494153
1990.0,FSU,MDE,-53.84309861088059,0.3605526124192302,0.3744304766494153
1990.0,WEU,MDE,-52.970146213151395,0.3605526124192302,0.3744304766494153
1990.0,SAS,MDE,-52.70492881540335,0.3605526124192302,0.3744304766494153
1990.0,CHI,MDE,-51.5963025043938,0.3605526124192302,0.3744304766494153
1990.0,JPK,MDE,-50.715899219676274,0.3605526124192302,0.3744304766494153
1990.0,SEA,MDE,-52.022744063378475,0.3605526124192302,0.3744304766494153
1990.0,CAM,MDE,-52.90326465706343,0.3605526124192302,0.3744304766494153
