year,originregion,destinationregion,fe_year
1995.0,LAM,SAS,-30.569267739554647
1995.0,LAM,EEU,-30.569267739554647
1995.0,LAM,MAF,-30.569267739554647
1995.0,LAM,SIS,-30.569267739554647
1995.0,LAM,WEU,-30.569267739554647
1995.0,LAM,SSA,-30.569267739554647
1995.0,LAM,FSU,-30.569267739554647
1995.0,LAM,ANZ,-30.569267739554647
1995.0,LAM,MDE,-30.569267739554647
1995.0,LAM,CAM,-30.569267739554647
1995.0,LAM,SEA,-30.569267739554647
1995.0,LAM,CAN,-30.569267739554647
1995.0,LAM,CHI,-30.569267739554647
1995.0,LAM,JPK,-30.569267739554647
1995.0,LAM,USA,-30.569267739554647
1995.0,FSU,SAS,-30.569267739554647
1995.0,FSU,EEU,-30.569267739554647
1995.0,FSU,MAF,-30.569267739554647
1995.0,FSU,SIS,-30.569267739554647
1995.0,FSU,WEU,-30.569267739554647
1995.0,FSU,SSA,-30.569267739554647
1995.0,FSU,LAM,-30.569267739554647
1995.0,FSU,ANZ,-30.569267739554647
1995.0,FSU,MDE,-30.569267739554647
1995.0,FSU,CAM,-30.569267739554647
1995.0,FSU,SEA,-30.569267739554647
1995.0,FSU,CAN,-30.569267739554647
1995.0,FSU,CHI,-30.569267739554647
1995.0,FSU,JPK,-30.569267739554647
1995.0,FSU,USA,-30.569267739554647
1995.0,ANZ,SAS,-30.569267739554647
1995.0,ANZ,EEU,-30.569267739554647
1995.0,ANZ,MAF,-30.569267739554647
1995.0,ANZ,SIS,-30.569267739554647
1995.0,ANZ,WEU,-30.569267739554647
1995.0,ANZ,SSA,-30.569267739554647
1995.0,ANZ,LAM,-30.569267739554647
1995.0,ANZ,FSU,-30.569267739554647
1995.0,ANZ,MDE,-30.569267739554647
1995.0,ANZ,CAM,-30.569267739554647
1995.0,ANZ,SEA,-30.569267739554647
1995.0,ANZ,CAN,-30.569267739554647
1995.0,ANZ,CHI,-30.569267739554647
1995.0,ANZ,JPK,-30.569267739554647
1995.0,ANZ,USA,-30.569267739554647
1995.0,MDE,SAS,-30.569267739554647
1995.0,MDE,EEU,-30.569267739554647
1995.0,MDE,MAF,-30.569267739554647
1995.0,MDE,SIS,-30.569267739554647
1995.0,MDE,WEU,-30.569267739554647
1995.0,MDE,SSA,-30.569267739554647
1995.0,MDE,LAM,-30.569267739554647
1995.0,MDE,FSU,-30.569267739554647
1995.0,MDE,ANZ,-30.569267739554647
1995.0,MDE,CAM,-30.569267739554647
1995.0,MDE,SEA,-30.569267739554647
1995.0,MDE,CAN,-30.569267739554647
1995.0,MDE,CHI,-30.569267739554647
1995.0,MDE,JPK,-30.569267739554647
