regtype,b3,b6,b7,b8,b9,b10,b0
reg_ratio_endo_yfe,0.041,0.141,-1.161,0.015,-10.162,1.186,12.896119742784583
reg_ratio_endo_odyfe,-0.218,-0.089,-1.49,0.01,-12.137,1.585,16.079522944599606
