originregion,destinationregion,remshare_reg,ypc_orig_reg,ypc_dest_reg,ypc_ratio_reg,remcost_reg,log_remshare_reg,OrigCategorical,DestCategorical,residual_ratio,residual_dest,exp_residual
SAS,SAS,0.6667635117329858,1.9968099650905877,1.9968099650905888,1.110223024625156e-15,0.03013178444836616,-0.40531985105900176,SAS,SAS,0.5634370594327132,0.5634370594328482,1.7567000182617976
SAS,EEU,0.2792762399067933,1.9968099650905873,2.222378756982161,0.2255687918915734,0.050842781944377365,-1.2755538798007926,SAS,EEU,-0.1452194964182283,-0.1452194964180471,0.8648324446520064
SAS,MAF,0.9268705954864932,1.9968099650905877,2.108363341144538,0.1115533760539506,0.050842781944377365,-0.07594131810501478,SAS,MAF,0.8743260488868285,0.8743260488870435,2.3972591139666983
SAS,WEU,0.15445939670009418,1.996809965090588,2.368015715511733,0.3712057504211455,0.03801422270658946,-1.8678240217136337,SAS,WEU,-0.3869029736604861,-0.38690297366041326,0.6791569878463968
SAS,SSA,1.4724947826951076,1.9968099650905875,1.9474481570858992,-0.04936180800468823,0.09181499999999998,0.3869580933761104,SAS,SSA,0.6979797834690445,0.6979797834695206,2.009688597534855
SAS,SIS,0.42986439470522936,1.996809965090588,2.1568473080411072,0.16003734295051933,0.050842781944377365,-0.844285481181943,SAS,SIS,0.1825536651409102,0.18255366514111093,1.2002785623434187
SAS,LAM,0.5918474281916596,1.9968099650905873,2.1891536186005047,0.19234365350991736,0.050842781944377365,-0.5245063999635442,SAS,LAM,0.5533548025460564,0.5533548025462482,1.7390775040424855
SAS,FSU,0.3340478540146171,1.9968099650905873,2.132593783672901,0.1357838185823138,0.050842781944377365,-1.0964710207755242,SAS,FSU,-0.10793599094304573,-0.1079359909428379,0.8976850545652794
SAS,ANZ,0.12815397820294783,1.9968099650905875,2.378254423210608,0.38144445812002037,0.05013109176279728,-2.0545227833222657,SAS,ANZ,-0.6713212167550782,-0.6713212167549467,0.511032946265979
SAS,MDE,0.24485108609806916,1.9968099650905873,2.2648764957683993,0.26806653067781205,0.031286051884703084,-1.407105065074528,SAS,MDE,-0.02583414347036017,-0.02583414347029267,0.9744967028473531
SAS,CAM,0.49037334975005253,1.9968099650905877,2.1518801099568052,0.15507014486621734,0.050842781944377365,-0.712588239739648,SAS,CAM,0.3064061030336934,0.3064061030338959,1.358533899276443
SAS,SEA,0.30067809677549284,1.9968099650905873,2.1247271500993845,0.12791718500879715,0.04662820455089778,-1.2017150324271946,SAS,SEA,-0.1859900068104985,-0.18599000681031197,0.8302818921047628
SAS,CAN,0.16842565688152908,1.9968099650905875,2.3716568817588692,0.37484691666828196,0.045554432101362057,-1.7812608320003498,SAS,CAN,-0.3654616568468867,-0.365461656846773,0.6938762442056728
SAS,CHI,0.3902967533561035,1.9968099650905875,2.276561468341496,0.27975150325090853,0.050842781944377365,-0.9408479231593903,SAS,CHI,0.27505839014824596,0.27505839014841293,1.3166075495332372
SAS,JPK,0.19363513158831372,1.9968099650905875,2.344845494809532,0.34803552971894436,0.09750776699029126,-1.6417796557867386,SAS,JPK,-0.7566475807224775,-0.7566475807220832,0.4692368718792796
SAS,USA,0.13853712944879473,1.9968099650905875,2.3973736443904943,0.40056367929990666,0.02651648305438923,-1.9766169066197021,SAS,USA,-0.341259913996524,-0.3412599139965222,0.710874118059627
EEU,SAS,0.0,2.22237875698216,1.9968099650905862,-0.22556879189157364,0.04972804878048781,-Inf,EEU,SAS,-Inf,-Inf,0.0
EEU,EEU,0.17485851065811656,2.2223787569821614,2.222378756982163,1.9984014443252798e-15,0.04972804878048781,-1.7437781426045842,EEU,EEU,0.5150729265988783,0.5150729265988214,1.673760559011772
EEU,MAF,0.1774525637149659,2.22237875698216,2.108363341144538,-0.11401541583762165,0.04972804878048781,-1.7290519524596717,EEU,MAF,0.3497321003530591,0.34973210035303604,1.4186874318168523
EEU,WEU,0.07335540571340012,2.2223787569821627,2.3680157155117287,0.1456369585295662,0.0,-2.6124390795844747,EEU,WEU,0.3438268297213809,0.3438268297210203,1.4103343863613103
EEU,SSA,0.04483750149527887,2.222378756982163,1.9474481570859017,-0.2749305998962612,0.04972804878048781,-3.104710402774891,EEU,SSA,-1.2800631863937073,-1.280063186393686,0.2780197328338855
EEU,SIS,0.1860269573586413,2.2223787569821627,2.1568473080411064,-0.0655314489410565,0.04972804878048781,-1.6818636837348626,EEU,SIS,0.4734921484088923,0.47349214840885145,1.6055913778048825
EEU,LAM,0.15600213667658847,2.2223787569821605,2.1891536186005043,-0.0332251383816562,0.04972804878048781,-1.8578855751816004,EEU,LAM,0.34849231314889306,0.3484923131488433,1.4169296511543141
EEU,FSU,0.17400471173145554,2.222378756982162,2.1325937836729003,-0.08978497330926136,0.04972804878048781,-1.7486729012178241,EEU,FSU,0.3683788144355524,0.3683788144355187,1.4453894696761154
EEU,ANZ,0.08715874820610396,2.222378756982161,2.378254423210608,0.15587566622844715,0.04972804878048781,-2.440024131031524,EEU,ANZ,0.06500475491248858,0.06500475491238555,1.0671640986440287
EEU,MDE,0.18448393624901752,2.222378756982161,2.2648764957683984,0.04249773878623778,0.09945609756097562,-1.6901928856930433,EEU,MDE,0.1683685468408196,0.168368546841015,1.183372658545657
EEU,CAM,0.224905654786063,2.2223787569821596,2.151880109956804,-0.07049864702535584,0.04972804878048781,-1.4920742767755444,EEU,CAM,0.6554367518186828,0.6554367518186437,1.9259835105113225
