period,scen,fundregion,popmig,inmig,outmig,index
2015,SSP1,USA,319906.91356200015,4951.335061939944,903.7030516454382,1
2015,SSP1,CAN,35947.06824899994,958.4656251950631,240.55009728913478,2
2015,SSP1,WEU,417639.6639485538,6430.67981218418,3178.779962371044,3
2015,SSP1,JPK,178560.66608100006,529.1704658520125,342.54255590246726,4
2015,SSP1,ANZ,28413.340061000043,873.7174183888596,289.18371585109804,5
2015,SSP1,EEU,115467.778619,487.44827093949783,1366.7545946909042,6
2015,SSP1,FSU,293533.2287003336,3029.17613279722,2916.4302857853772,7
2015,SSP1,MDE,319836.4064930641,4301.765673453453,2678.9287486173453,8
2015,SSP1,CAM,176314.84297000009,259.17354258667945,2070.5283444059023,9
2015,SSP1,LAM,416151.84039000014,614.0346606364992,1340.8226280992615,10
2015,SSP1,SAS,1.7435983427200012e6,2277.072850387981,5132.54570335784,11
2015,SSP1,SEA,666053.4579182011,1478.6496039616911,2575.826259297197,12
2015,SSP1,CHI,1.4078805747460015e6,532.7620174008583,1310.3212408903603,13
2015,SSP1,MAF,185966.89175866666,178.34609181987065,1157.5596215566384,14
2015,SSP1,SSA,992543.9245538912,3763.17870507652,4967.974910868375,15
2015,SSP1,SIS,43236.17417896006,104.75120559116867,708.0104737027184,16
2020,SSP1,USA,330291.74330959,5212.340865655893,934.2437269945466,1
2020,SSP1,CAN,37213.38479809571,1008.4187061649615,249.13034681485797,2
2020,SSP1,WEU,421003.532686297,6767.482946396578,3209.103686573952,3
2020,SSP1,JPK,177256.44127809646,557.2093507916304,341.10274080070144,4
2020,SSP1,ANZ,29817.47993241544,919.2088840036848,303.461815225247,5
2020,SSP1,EEU,113442.65673533236,512.9013566160022,1334.6737517406834,6
2020,SSP1,FSU,296046.14919850416,3188.5928840288084,2950.6120961144115,7
2020,SSP1,MDE,344491.5157642259,4527.321163070402,2890.4931489740125,8
2020,SSP1,CAM,185829.8312829408,272.6807975632906,2172.399520652973,9
2020,SSP1,LAM,434080.3730652245,646.0987607281497,1399.940968476675,10
2020,SSP1,SAS,1.8429852644834127e6,2394.5490572985327,5476.926049067907,11
2020,SSP1,SEA,697438.0065603663,1555.6928853745687,2703.3368142022227,12
2020,SSP1,CHI,1.4263639820029715e6,561.314953583302,1332.7590964008843,13
