scen,period,fundregion,age,pop,inmig,inmig_sum,share,index
SSP1,2015,USA,0,19850.663000000004,427.95248951691997,4951.3350619399425,0.08643173692819071,1
SSP1,2015,USA,5,20903.807000000004,259.56624221694597,4951.3350619399425,0.05242348557910913,1
SSP1,2015,USA,10,20713.101,162.35579109621182,4951.3350619399425,0.03279030585997154,1
SSP1,2015,USA,15,21296.965999999997,452.58690992718516,4951.3350619399425,0.09140704562818674,1
SSP1,2015,USA,20,22940.181279999997,1062.9144490715535,4951.3350619399425,0.2146722925786205,1
SSP1,2015,USA,25,22436.115999999998,953.0367060656973,4951.3350619399425,0.19248075400744455,1
SSP1,2015,USA,30,21246.146481999996,633.7842182319949,4951.3350619399425,0.1280026922645136,1
SSP1,2015,USA,35,20132.748999999996,392.48143427870355,4951.3350619399425,0.07926779936499158,1
SSP1,2015,USA,40,20065.02999999999,239.15472920073228,4951.3350619399425,0.048301059453453955,1
SSP1,2015,USA,45,20852.606999999996,145.19863869856945,4951.3350619399425,0.029325149052158946,1
SSP1,2015,USA,50,22139.432999999997,88.08206089405577,4951.3350619399425,0.01778955772375967,1
SSP1,2015,USA,55,21562.264,53.41868949423395,4951.3350619399425,0.010788744616548815,1
SSP1,2015,USA,60,18929.116,32.38858537345485,4951.3350619399425,0.006541384286920979,1
SSP1,2015,USA,65,15703.718000000008,19.629276355899023,4951.3350619399425,0.003964441127562924,1
SSP1,2015,USA,70,11185.208999999983,28.78484151778581,4951.3350619399425,0.00581355152856649,1
SSP1,2015,USA,75,8100.189000000001,0,4951.3350619399425,0,1
SSP1,2015,USA,80,5732.262000000006,0,4951.3350619399425,0,1
SSP1,2015,USA,85,3870.5129999999986,0,4951.3350619399425,0,1
SSP1,2015,USA,90,1728.7159999999988,0,4951.3350619399425,0,1
SSP1,2015,USA,95,456.15199999999965,0,4951.3350619399425,0,1
SSP1,2015,USA,100,61.97000000000005,0,4951.3350619399425,0,1
SSP1,2015,USA,105,0.0012000000000000003,0,4951.3350619399425,0,1
SSP1,2015,USA,110,0.0012000000000000003,0,4951.3350619399425,0,1
SSP1,2015,USA,115,0.0012000000000000003,0,4951.3350619399425,0,1
SSP1,2015,USA,120,0.0012000000000000003,0,4951.3350619399425,0,1
SSP1,2015,CAN,0,1943.6699999999998,82.8367626574946,958.465625195063,0.08642643041124819,2
SSP1,2015,CAN,5,1948.6999999999996,50.2430240112843,958.465625195063,0.0524202670294608,2
SSP1,2015,CAN,10,1851.677,31.42690369933204,958.465625195063,0.03278876453491607,2
SSP1,2015,CAN,15,2117.703063,87.60748725608272,958.465625195063,0.09140389071152469,2
SSP1,2015,CAN,20,2491.288219,205.75205096469494,958.465625195063,0.21466815872798894,2
SSP1,2015,CAN,25,2451.4243840000004,184.48621847408072,958.465625195063,0.19248078765113233,2
SSP1,2015,CAN,30,2526.443783,122.68982758145079,958.465625195063,0.12800649742287987,2
SSP1,2015,CAN,35,2387.787,75.97832026444952,958.465625195063,0.07927078266264033,2
SSP1,2015,CAN,40,2345.4890000000005,46.29746626040621,958.465625195063,0.04830373155112781,2
SSP1,2015,CAN,45,2420.4450000000015,28.109176192264467,958.465625195063,0.029327265843825962,2
SSP1,2015,CAN,50,2790.7239999999997,17.05219273113584,958.465625195063,0.01779113646111768,2
SSP1,2015,CAN,55,2626.521999999999,10.341823984321122,958.465625195063,0.010789979016948465,2
SSP1,2015,CAN,60,2240.137,6.270615572513342,958.465625195063,0.00654234790239574,2
SSP1,2015,CAN,65,1923.5759999999993,3.800458650865421,958.465625195063,0.0039651486197973635,2
SSP1,2015,CAN,70,1373.8250000000007,5.5732968946871475,958.465625195063,0.00581481145299592,2
SSP1,2015,CAN,75,989.3189999999997,0,958.465625195063,0,2
SSP1,2015,CAN,80,745.2620000000002,0,958.465625195063,0,2
SSP1,2015,CAN,85,493.1090000000001,0,958.465625195063,0,2
SSP1,2015,CAN,90,219.31000000000014,0,958.465625195063,0,2
SSP1,2015,CAN,95,53.22299999999997,0,958.465625195063,0,2
SSP1,2015,CAN,100,7.428999999999996,0,958.465625195063,0,2
SSP1,2015,CAN,105,0.0012000000000000003,0,958.465625195063,0,2
SSP1,2015,CAN,110,0.0012000000000000003,0,958.465625195063,0,2
SSP1,2015,CAN,115,0.0012000000000000003,0,958.465625195063,0,2
SSP1,2015,CAN,120,0.0012000000000000003,0,958.465625195063,0,2
SSP1,2015,WEU,0,21467.097000000005,556.2900837968471,6436.560575318695,0.08642660583821249,3
SSP1,2015,WEU,5,22191.54900000001,337.406908856956,6436.560575318695,0.05242037341352139,3
SSP1,2015,WEU,10,21673.223,211.0470736077877,6436.560575318695,0.03278879630482435,3
SSP1,2015,WEU,15,22136.603838,588.3274618364277,6436.560575318695,0.09140401227518902,3
SSP1,2015,WEU,20,23776.62707500001,1381.7266186659037,6436.560575318695,0.2146684712273511,3
SSP1,2015,WEU,25,25430.469212999997,1238.9138660079482,6436.560575318695,0.19248072810168582,3
SSP1,2015,WEU,30,26519.109915999998,823.919283188195,6436.560575318695,0.12800614140843383,3
SSP1,2015,WEU,35,27465.82099999998,510.2294770956656,6436.560575318695,0.07927051584850539,3
SSP1,2015,WEU,40,29514.35700000001,310.9094702562662,6436.560575318695,0.04830366569507071,3
SSP1,2015,WEU,45,31830.51600000001,188.76693914934498,6436.560575318695,0.029327299407882684,3
SSP1,2015,WEU,50,31289.297000000002,114.51368591871599,6436.560575318695,0.017791129995392927,3
SSP1,2015,WEU,55,27850.664000000008,69.45025727614461,6436.560575318695,0.010789964059758097,3
